duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
9.9536,-0.208,-0.14518,0.46578,-0.16793,0.024195,-0.0014397,1.412e-05,1.1412e-06,0.18079,0.14217,-0.16823,0.071634,-0.01275,0.0010995,-4.3998e-05,5.9605e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,0.49853,0.0012422,-0.011685,0.0015374,0.0001647,-6.4752e-05,6.0621e-06,-1.8978e-07,0.82515,0.041427,0.01127,-0.0033336,0.00017116,3.6935e-05,-5.0875e-06,1.8171e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9965,0.21603,-0.039649,-0.00045701,-7.2091e-05,2.3736e-05,-3.1134e-06,2.2374e-07,-6.6574e-09,1.1672,0.015527,-0.0019368,0.00011007,-1.3421e-05,7.8314e-07,-1.5944e-08,-8.0309e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.001,-0.2149,-0.043151,0.00018155,0.00011085,-1.8605e-05,2.2335e-06,-1.3582e-07,3.24e-09,1.1662,-0.014757,-0.0015039,5.4444e-05,-1.0691e-05,1.4173e-06,-8.8936e-08,2.1606e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.58355,-0.027781,0.0011084,3.01e-05,-1.7169e-06,-2.2128e-09,9.7571e-09,-4.7624e-10,0.89018,-0.038519,-0.0010218,8.5577e-05,-1.1436e-05,1.0835e-06,-4.4385e-08,5.1141e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.002,-0.73282,-0.00097644,0.0014058,2.0183e-05,-2.3201e-06,-2.9726e-07,5.7755e-08,-2.4916e-09,0.44299,-0.048043,0.00018701,-8.6359e-05,2.5694e-05,-2.3097e-06,6.7935e-08,4.743e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9923,-0.60186,0.026436,0.00099392,0.0001156,-3.9912e-05,5.7656e-06,-4.0533e-07,1.1043e-08,-0.0065214,-0.039084,0.0010867,-0.0001183,4.3182e-05,-6.4494e-06,4.6144e-07,-1.2791e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.003,-0.24034,0.043818,0.00015598,0.00014647,-4.9053e-05,7.1437e-06,-5.1301e-07,1.4317e-08,-0.28644,-0.015242,0.0015368,-4.0972e-05,1.1372e-05,-1.5451e-06,1.0588e-07,-2.9393e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.005,0.21406,0.0442,-0.00042168,7.1878e-06,-1.616e-05,2.9669e-06,-2.4192e-07,7.3752e-09,-0.29041,0.014399,0.001452,-9.519e-06,-3.4977e-06,7.9075e-07,-7.3924e-08,2.3923e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9904,0.58813,0.027996,-0.0011579,-1.4847e-05,-9.8142e-07,2.4133e-07,-1.9087e-08,5.7066e-10,-0.016458,0.03857,0.00076955,6.3889e-05,-3.0406e-05,5.0086e-06,-3.9837e-07,1.2157e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
